participant,video,timestamp_start,timestamp_end,length,diff_from_mean,diff_from_previous
B20,medium,2021-05-14 14:04:43,2021-05-14 14:11:06,0.00443287037342088,0.000001,0
B20,easy,2021-05-14 14:13:36,2021-05-14 14:19:53,0.00436342592729488,0,0.00173611110949423
B20,hard,2021-05-14 14:22:23,2021-05-14 14:29:07,0.00467592592758592,0,0.00173611110949423
B20,serene,2021-05-14 14:31:37,2021-05-14 14:35:35,0.002754629633273,-0.000011,0.00173611110949423
B20,sad,2021-05-14 14:38:05,2021-05-14 14:39:34,0.00103009259328246,0.000001,0.00173611110949423
B21,easy,2021-05-14 11:46:45,2021-05-14 11:53:02,0.00436342592001893,0,1
B21,medium,2021-05-14 11:55:32,2021-05-14 12:01:55,0.00443287036614493,0.000001,0.00173611111677019
B21,hard,2021-05-14 12:04:25,2021-05-14 12:11:09,0.00467592592758592,0,0.00173611110949423
B21,sad,2021-05-14 12:13:39,2021-05-14 12:15:08,0.00103009259328246,0.000001,0.00173611110949423
B21,serene,2021-05-14 12:17:41,2021-05-14 12:21:38,0.00274305555649335,0.000001,0.00177083333255723
B22,medium,2021-05-22 13:55:42,2021-05-22 14:02:05,0.00443287036614493,0.000001,2
B22,easy,2021-05-22 14:04:35,2021-05-22 14:10:52,0.00436342592729488,0,0.00173611110949423
B22,hard,2021-05-22 14:15:06,2021-05-22 14:21:49,0.00466435185080627,0.000012,0.00293981481809169
B22,serene,2021-05-22 14:24:20,2021-05-22 14:28:17,0.00274305555649335,0,0.00174768518627388
B22,sad,2021-05-22 14:30:47,2021-05-22 14:32:16,0.00103009259328246,0.000001,0.00173611110949423
B23,easy,2021-05-21 14:57:23,2021-05-21 15:03:40,0.00436342592729488,0,3
B23,medium,2021-05-21 15:06:10,2021-05-21 15:12:33,0.00443287037342088,0.000001,0.00173611110949423
B23,hard,2021-05-21 15:15:03,2021-05-21 15:21:47,0.00467592592758592,0,0.00173611110949423
B23,sad,2021-05-21 15:24:17,2021-05-21 15:25:46,0.00103009259328246,0.000001,0.00173611110949423
B23,serene,2021-05-21 15:28:19,2021-05-21 15:32:16,0.00274305555649335,0.000001,0.00177083333255723
B24,medium,2021-05-18 19:37:31,2021-05-18 19:43:54,0.00443287037342088,0.000001,4
B24,easy,2021-05-18 19:46:24,2021-05-18 19:52:41,0.00436342592729488,0,0.00173611110949423
B24,hard,2021-05-18 19:55:11,2021-05-18 20:01:55,0.00467592592758592,0,0.00173611110949423
B24,serene,2021-05-18 20:05:57,2021-05-18 20:09:54,0.00274305555649335,0.000001,0.00280092592583969
B24,sad,2021-05-18 20:12:24,2021-05-18 20:13:53,0.00103009259328246,0.000001,0.00173611110949423
B25,easy,2021-05-29 14:59:34,2021-05-29 15:05:51,0.00436342592001893,0,5
B25,medium,2021-05-29 15:08:22,2021-05-29 15:14:44,0.00442129629664123,0.000013,0.00174768518627388
B25,hard,2021-05-29 15:17:15,2021-05-29 15:23:59,0.00467592592758592,0,0.00174768518627388
B25,sad,2021-05-29 15:26:29,2021-05-29 15:27:58,0.00103009259328246,0.000001,0.00173611110949423
B25,serene,2021-05-29 15:30:31,2021-05-29 15:34:28,0.00274305555649335,0.000001,0.00177083333255723
B26,medium,2021-05-22 18:35:24,2021-05-22 18:41:47,0.00443287037342088,0.000001,6
B26,easy,2021-05-22 18:44:17,2021-05-22 18:50:34,0.00436342592729488,0,0.00173611110949423
B26,hard,2021-05-22 18:53:04,2021-05-22 18:59:48,0.00467592592758592,0,0.00173611110949423
B26,serene,2021-05-22 19:02:18,2021-05-22 19:06:15,0.00274305555649335,0.000001,0.00173611110949423
B26,sad,2021-05-22 19:08:45,2021-05-22 19:10:14,0.00103009259328246,0.000001,0.00173611110949423
B27,easy,2021-05-19 09:03:50,2021-05-19 09:10:07,0.00436342592729488,0,7
B27,medium,2021-05-19 09:12:37,2021-05-19 09:19:01,0.00444444444292458,-0.00001,0.00173611111677019
B27,hard,2021-05-19 09:21:30,2021-05-19 09:28:15,0.00468750000436557,-0.000011,0.00172453703271458
B27,sad,2021-05-19 09:30:44,2021-05-19 09:32:13,0.00103009259328246,0.000001,0.00172453703271458
B27,serene,2021-05-19 09:34:46,2021-05-19 09:38:43,0.00274305555649335,0.000001,0.00177083333255723
B28,medium,2021-05-20 17:06:40,2021-05-20 17:13:04,0.00444444444292458,-0.00001,8
B28,easy,2021-05-20 17:15:33,2021-05-20 17:21:50,0.00436342592729488,0,0.00172453703999054
B28,hard,2021-05-20 17:24:20,2021-05-20 17:31:04,0.00467592592758592,0,0.00173611110949423
B28,serene,2021-05-20 17:33:35,2021-05-20 17:37:32,0.00274305555649335,0.000001,0.00174768517899793
B28,sad,2021-05-20 17:40:02,2021-05-20 17:41:31,0.00103009259328246,0.000001,0.00173611110949423
B29,easy,2021-05-21 09:06:34,2021-05-21 09:12:52,0.00437500000407454,-0.000011,9
B29,medium,2021-05-21 09:15:21,2021-05-21 09:21:44,0.00443287036614493,0.000001,0.00172453703999054
B29,hard,2021-05-21 09:24:15,2021-05-21 09:30:59,0.00467592592758592,0,0.00174768518627388
B29,sad,2021-05-21 09:33:29,2021-05-21 09:34:58,0.00103009259328246,0.000001,0.00173611110949423
B29,serene,2021-05-21 09:37:31,2021-05-21 09:41:28,0.00274305555649335,0.000001,0.00177083333255723
B30,medium,2021-05-14 10:22:16,2021-05-14 10:28:40,0.00444444444292458,-0.00001,10
B30,easy,2021-05-14 10:31:10,2021-05-14 10:37:27,0.00436342592729488,0,0.00173611110949423
B30,hard,2021-05-14 10:39:57,2021-05-14 10:46:41,0.00467592592758592,0,0.00173611110949423
B30,serene,2021-05-14 10:49:11,2021-05-14 10:53:08,0.00274305555649335,0.000001,0.00173611110949423
B30,sad,2021-05-14 10:55:38,2021-05-14 10:57:07,0.00103009259328246,0.000001,0.00173611110949423
B31,easy,2021-05-19 14:20:15,2021-05-19 14:26:32,0.00436342592729488,0,11
B31,medium,2021-05-19 14:29:02,2021-05-19 14:35:25,0.00443287036614493,0.000001,0.00173611110949423
B31,hard,2021-05-19 14:37:55,2021-05-19 14:44:39,0.00467592592030996,0,0.00173611111677019
B31,sad,2021-05-19 14:47:09,2021-05-19 14:48:38,0.00103009259328246,0.000001,0.00173611111677019
B31,serene,2021-05-19 14:51:11,2021-05-19 14:55:08,0.00274305555649335,0.000001,0.00177083333255723
B32,medium,2021-05-21 10:38:57,2021-05-21 10:45:20,0.00443287037342088,0.000001,12
B32,easy,2021-05-21 10:47:50,2021-05-21 10:54:07,0.00436342592729488,0,0.00173611110949423
B32,hard,2021-05-21 10:56:37,2021-05-21 11:03:21,0.00467592592758592,0,0.00173611110949423
B32,serene,2021-05-21 11:05:51,2021-05-21 11:09:48,0.00274305555649335,0.000001,0.00173611110949423
B32,sad,2021-05-21 11:12:18,2021-05-21 11:13:47,0.00103009259328246,0.000001,0.00173611110949423
B33,easy,2021-05-20 13:37:07,2021-05-20 13:43:24,0.00436342592729488,0,13
B33,medium,2021-05-20 13:45:54,2021-05-20 13:52:17,0.00443287037342088,0.000001,0.00173611110949423
B33,hard,2021-05-20 13:54:47,2021-05-20 14:01:31,0.00467592592758592,0,0.00173611110949423
B33,sad,2021-05-20 14:04:01,2021-05-20 14:05:32,0.00105324073956581,-0.000022,0.00173611110949423
B33,serene,2021-05-20 14:08:05,2021-05-20 14:12:03,0.002754629633273,-0.000011,0.00177083333255723
B34,medium,2021-05-25 16:06:16,2021-05-25 16:12:39,0.00443287036614493,0.000001,14
B34,easy,2021-05-25 16:15:09,2021-05-25 16:21:26,0.00436342592729488,0,0.00173611110949423
B34,hard,2021-05-25 16:23:56,2021-05-25 16:30:40,0.00467592592758592,0,0.00173611110949423
B34,serene,2021-05-25 16:33:10,2021-05-25 16:37:07,0.00274305555649335,0.000001,0.00173611110949423
B34,sad,2021-05-25 16:39:37,2021-05-25 16:41:06,0.00103009259328246,0.000001,0.00173611110949423
B35,easy,2021-05-21 17:00:45,2021-05-21 17:07:02,0.00436342592729488,0,15
B35,medium,2021-05-21 17:09:32,2021-05-21 17:15:55,0.00443287037342088,0.000001,0.00173611110949423
B35,hard,2021-05-21 17:18:25,2021-05-21 17:25:10,0.00468749999708962,-0.000011,0.00173611110949423
B35,sad,2021-05-21 17:27:40,2021-05-21 17:29:09,0.00103009259328246,0.000001,0.00173611110949423
B35,serene,2021-05-21 17:31:42,2021-05-21 17:35:39,0.00274305555649335,0.000001,0.00177083333255723
B36,medium,2021-05-21 13:39:25,2021-05-21 13:45:48,0.00443287036614493,0.000001,16
B36,easy,2021-05-21 13:48:19,2021-05-21 13:54:36,0.00436342592729488,0,0.00174768518627388
